trade_id,analysis_id,symbol,platform,direction,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit_1,take_profit_2,take_profit_3,position_size,ticket,status,exit_reason,pnl,pnl_percent,realized_rr,duration_minutes,commission,slippage,max_favorable_excursion,max_adverse_excursion,original_stop_loss
trade_20260224_000352_445769,analysis_20260224_000351_634227,XAU/USD,mt5,long,2026-02-24 00:03:52.445769,2026-02-24 00:05:25.211044,5219.598,5227.274,5227.2743471,5234.99732142857,5248.74664285714,,0.23,2413496657,closed,stop_loss,176.55,0.1674,1.0,1.5,0.0,0.0,10.4470000000001,0.0,
trade_20260224_000936_452482,analysis_20260224_000935_778644,XAU/USD,mt5,long,2026-02-24 00:09:36.453720,2026-02-24 00:13:29.334477,5225.823,5230.127,5230.1274909,5243.43171428571,5257.95042857143,,0.22,2413527399,closed,stop_loss,94.68,0.0898,1.0,3.4,0.0,0.0,6.02899999999954,0.0,
trade_20260224_001448_949847,analysis_20260224_001448_130394,XAU/USD,mt5,long,2026-02-24 00:14:48.949847,2026-02-24 00:19:45.835392,5230.205,5233.196,5233.1955702,5243.55846428571,5256.34092857143,,0.25,2413544952,closed,stop_loss,74.77,0.0708,1.0,4.8,0.0,0.0,4.56099999999969,0.225999999999658,
trade_20260224_002002_775672,analysis_20260224_002001_536059,XAU/USD,mt5,long,2026-02-24 00:20:02.775672,2026-02-24 00:22:39.182430,5232.483,5235.621,5235.6208424,5244.40757142857,5256.61414285714,,0.26,2413558730,closed,stop_loss,81.59,0.0773,1.0,2.4,0.0,0.0,5.01900000000023,0.0,
trade_20260224_002516_603546,analysis_20260224_002515_904545,XAU/USD,mt5,long,2026-02-24 00:25:16.603546,2026-02-24 00:28:14.266553,5235.854,5228.131,5228.13092857143,5247.61110714286,5259.29921428571,,0.27,2413575474,closed,stop_loss,-208.52,-0.1979,-1.0,2.9,0.0,0.0,0.389000000000124,7.56800000000021,
trade_20260224_003029_696327,analysis_20260224_003029_030762,XAU/USD,mt5,long,2026-02-24 00:30:29.696327,2026-02-24 00:32:36.520642,5228.272,5229.623,5229.6226424,5239.00325,5250.9785,,0.26,2413591799,closed,stop_loss,35.13,0.0333,1.0,2,0.0,0.0,2.92000000000007,2.0029999999997,
trade_20260224_003542_449977,analysis_20260224_003541_579440,XAU/USD,mt5,long,2026-02-24 00:35:42.449977,2026-02-24 00:36:59.298927,5228.4,5230.618,5230.6183436,5239.99575,5251.4805,,0.28,2413603583,closed,stop_loss,62.1,0.0589,0.9998,1.2,0.0,0.00034,3.78800000000047,0.947999999999411,
trade_20260224_004055_497392,analysis_20260224_004054_662116,XAU/USD,mt5,long,2026-02-24 00:40:55.497392,2026-02-24 00:49:33.113384,5229.01,5230.29,5230.2894423,5238.55178571429,5249.83757142857,,0.28,2413614988,closed,stop_loss,35.84,0.034,1.0008,8.2,0.0,0.001,2.84900000000016,2.09200000000055,
trade_20260224_005218_031655,analysis_20260224_005217_206814,XAU/USD,mt5,long,2026-02-24 00:52:18.031655,2026-02-24 00:55:55.400554,5229.551,5222.876,5222.87621428571,5240.72817857143,5251.43935714286,,0.3,2413630827,closed,stop_loss,-200.25,-0.1901,-1.0,3.5,0.0,0.0,0.0,5.32800000000043,
trade_20260224_005730_541414,analysis_20260224_005729_890610,XAU/USD,mt5,long,2026-02-24 00:57:30.541414,2026-02-24 01:00:09.135116,5224.767,5215.784,5215.78385714286,5234.42671428571,5245.61242857143,,0.28,2413647056,closed,stop_loss,-251.53,-0.2388,-1.0,2.6,0.0,0.0,0.0,3.24600000000009,
trade_20260224_010243_301865,analysis_20260224_010242_508097,XAU/USD,mt5,long,2026-02-24 01:02:43.301865,2026-02-24 01:03:25.445734,5208.37,5212.118,5212.1178954,5226.15135714286,5239.04471428572,,0.24,2413686640,closed,stop_loss,89.95,0.0855,1.0,0.6,0.0,0.0001,5.3119999999999,0.0,
trade_20260224_010827_475896,analysis_20260224_010826_649147,XAU/USD,mt5,long,2026-02-24 01:08:27.475896,2026-02-24 01:10:29.361986,5201.324,5209.299,5209.2987414,5217.53575,5231.8225,,0.22,2413721099,closed,stop_loss,175.45,0.1665,1.0,1.9,0.0,0.00026,9.53800000000047,0.0,
trade_20260224_011340_479579,analysis_20260224_011339_698411,XAU/USD,mt5,long,2026-02-24 01:13:40.479579,2026-02-24 01:15:21.021754,5187.552,5182.98,5182.98042857143,5208.34685714286,5223.56671428571,,0.21,2413750303,closed,stop_loss,-96.01,-0.0914,-1.0,1.6,0.0,0.0,0.0,3.29399999999987,
trade_20260224_011853_179826,analysis_20260224_011852_393648,XAU/USD,mt5,long,2026-02-24 01:18:53.179826,2026-02-24 01:20:55.564523,5162.828,5166.317,5166.3166399,5180.95392857143,5199.77485714286,,0.17,2413801202,closed,stop_loss,59.31,0.0563,1.0,1.9,0.0,0.0,5.03899999999976,1.30100000000039,
trade_20260224_012506_511936,analysis_20260224_012505_596123,XAU/USD,mt5,long,2026-02-24 01:25:06.511936,2026-02-24 01:26:58.246169,5152.612,5156.06,5156.0597179,5171.17764285714,5191.34428571429,,0.16,2413845858,closed,stop_loss,55.17,0.0524,1.0,1.8,0.0,0.0,4.99499999999989,3.20799999999963,
trade_20260224_013019_888707,analysis_20260224_013019_087041,XAU/USD,mt5,long,2026-02-24 01:30:19.888707,2026-02-24 01:35:43.290854,5167.86,5171.602,5171.6020538,5186.56935714286,5207.91971428572,,0.15,2413879702,closed,stop_loss,56.13,0.0532,1.0,5.3,0.0,0.0,5.29400000000078,4.59999999999945,
trade_20260224_014041_911077,analysis_20260224_014041_051078,XAU/USD,mt5,long,2026-02-24 01:40:41.911077,2026-02-24 01:45:09.572417,5165.488,5173.261,5173.2605561,5187.15917857143,5209.34235714286,,0.14,2413937522,closed,stop_loss,108.82,0.1031,1.0,4.4,0.0,0.0,9.98299999999927,0.0,
trade_20260224_014554_965333,analysis_20260224_014554_182301,XAU/USD,mt5,long,2026-02-24 01:45:54.965333,2026-02-24 02:35:03.965889,5177.992,5183.354,5183.3535273,5196.92960714286,5219.66821428571,,0.14,2413957929,closed,stop_loss,75.07,0.0711,1.0,49.1,0.0,0.0,6.91699999999946,12.3240000000005,
trade_20260224_023730_041063,analysis_20260224_023729_274732,XAU/USD,mt5,long,2026-02-24 02:37:30.041063,2026-02-24 02:53:15.405131,5185.23,5187.876,5187.8761701,5197.20178571429,5212.32457142857,,0.21,2414105177,closed,stop_loss,55.57,0.0526,1.0,15.7,0.0,0.0,4.20300000000043,1.45099999999911,
trade_20260224_025809_615517,analysis_20260224_025808_817892,XAU/USD,mt5,long,2026-02-24 02:58:09.615517,2026-02-24 02:59:27.825818,5185.358,5187.99,5187.9901359,5197.73282142857,5210.12764285714,,0.26,2414151462,closed,stop_loss,68.43,0.0647,1.0,1.2,0.0,0.0,4.1889999999994,0.0,
trade_20260224_030322_411957,analysis_20260224_030321_607015,XAU/USD,mt5,long,2026-02-24 03:03:22.411957,2026-02-24 03:43:30.424923,5189.406,5181.185,5181.1845,5200.73325,5212.4625,,0.27,2414162022,closed,stop_loss,-221.96,-0.2103,-1.0,40,0.0,0.0,1.84799999999996,7.28200000000015,
trade_20260224_034439_224226,analysis_20260224_034438_382151,XAU/USD,mt5,long,2026-02-24 03:44:39.224226,2026-02-24 03:51:45.725337,5178.902,5174.387,5174.38671428571,5187.56242857143,5195.46785714286,,0.4,2414236442,closed,stop_loss,-180.6,-0.1714,-1.0,7,0.0,0.0,0.867000000000189,4.33100000000013,
trade_20260224_035501_373962,analysis_20260224_035500_523050,XAU/USD,mt5,long,2026-02-24 03:55:01.373962,2026-02-24 04:00:28.823771,5176.128,5170.591,5170.59092857143,5183.37110714286,5191.03921428571,,0.41,2414256789,closed,stop_loss,-227.02,-0.216,-1.0,5.3,0.0,0.0,0.338999999999942,6.86099999999988,
trade_20260224_040524_446058,analysis_20260224_040523_673624,XAU/USD,mt5,long,2026-02-24 04:05:24.446058,2026-02-24 04:08:43.731176,5163.658,5169.347,5169.3467306,5172.3275,5180.318,,0.39,2414287485,closed,stop_loss,221.87,0.2107,1.0,3.3,0.0,0.0,7.58899999999994,0.0,
trade_20260224_041037_361469,analysis_20260224_041036_660355,XAU/USD,mt5,long,2026-02-24 04:10:37.361469,2026-02-24 04:19:01.600556,5169.917,5171.09,5171.2536196,5177.68953571428,5186.15307142857,,0.37,2414300826,closed,stop_loss,43.4,0.0412,0.8773,8.3,0.0,0.164,2.88799999999992,2.59000000000015,
trade_20260224_042059_093428,analysis_20260224_042058_310949,XAU/USD,mt5,long,2026-02-24 04:20:59.093428,2026-02-24 04:23:54.840257,5172.329,5172.972,5172.9716428,5180.12367857143,5188.41835714285,,0.38,2414322468,closed,stop_loss,24.44,0.0232,1.0,2.8,0.0,0.0,2.19500000000062,0.818999999999505,
trade_20260224_042612_146200,analysis_20260224_042611_474174,XAU/USD,mt5,long,2026-02-24 04:26:12.146200,2026-02-24 04:38:01.368472,5172.22,5166.265,5166.26514285714,5180.36478571429,5188.82457142857,,0.37,2414336079,closed,stop_loss,-220.33,-0.2095,-1.0,11.7,0.0,0.0,0.820999999999913,5.65300000000025,
trade_20260224_044143_366496,analysis_20260224_044142_720361,XAU/USD,mt5,long,2026-02-24 04:41:43.366496,2026-02-24 04:45:03.387162,5170.916,5164.201,5164.20128571429,5178.01557142857,5186.30414285714,,0.38,2414370792,closed,stop_loss,-255.17,-0.2432,-1.0,3.3,0.0,0.0,0.0,6.30299999999988,
trade_20260224_044656_643056,analysis_20260224_044655_581869,XAU/USD,mt5,long,2026-02-24 04:46:56.643056,2026-02-24 04:52:30.954938,5166.51,5168.829,5168.828886,5175.52860714286,5184.42521428571,,0.35,2414388302,closed,stop_loss,81.17,0.0773,1.0,5.5,0.0,0.0,4.07499999999982,0.0,
