datetime,open,high,low,close,tick_volume,spread_points
2026-07-01 00:00:00+00:00,58539.82,58649.27,58204.15,58485.46,3500,1000
2026-07-01 01:00:00+00:00,58484.62,58930.44,57701.24,58672.63,11262,1000
2026-07-01 02:00:00+00:00,58683.85,59084.31,58561.56,58994.01,4698,1000
2026-07-01 03:00:00+00:00,58995.91,59227.35,58752.88,59096.86,3577,1000
2026-07-01 04:00:00+00:00,59105.12,59377.78,58968.46,59251.15,3205,1000
2026-07-01 05:00:00+00:00,59240.89,59288.89,59027.29,59058.64,2349,1000
2026-07-01 06:00:00+00:00,59060.01,59072.54,58440.85,58669.63,3606,1000
2026-07-01 07:00:00+00:00,58675.06,58741.65,58510.35,58688.91,2845,1000
2026-07-01 08:00:00+00:00,58687.49,58911.84,58408.69,58898.64,3647,1000
2026-07-01 09:00:00+00:00,58900.17,59019.97,58743.14,58870.80,2563,1000
2026-07-01 10:00:00+00:00,58871.18,58873.81,58537.20,58579.19,2383,1000
2026-07-01 11:00:00+00:00,58578.47,58676.62,58469.02,58536.99,2895,1000
2026-07-01 12:00:00+00:00,58536.88,58604.43,58241.38,58450.20,4871,1000
2026-07-01 13:00:00+00:00,58464.81,59450.23,58446.00,59420.03,10579,1000
2026-07-01 14:00:00+00:00,59417.52,60032.18,59196.02,59484.77,9693,1000
2026-07-01 15:00:00+00:00,59484.68,60482.77,59444.99,60082.33,7949,1000
2026-07-01 16:00:00+00:00,60089.56,60212.56,59796.45,59866.74,3642,1000
2026-07-01 17:00:00+00:00,59866.33,60183.56,59719.85,60130.42,3545,1000
2026-07-01 18:00:00+00:00,60125.31,60246.33,59954.93,60103.42,3192,1000
2026-07-01 19:00:00+00:00,60101.05,60296.04,59930.82,59970.45,2933,1000
2026-07-01 20:00:00+00:00,59970.19,60142.21,59806.49,60071.82,2476,1000
2026-07-01 21:00:00+00:00,60070.93,60787.38,60056.69,60758.39,3515,1000
2026-07-01 22:00:00+00:00,60759.42,61287.93,60274.95,60408.42,5829,1000
2026-07-01 23:00:00+00:00,60402.49,60402.49,59910.78,59966.85,3844,1000
2026-07-02 00:00:00+00:00,59972.93,59972.93,59517.92,59682.54,3937,1000
2026-07-02 01:00:00+00:00,59685.21,60260.88,59650.34,60110.47,4001,1000
2026-07-02 02:00:00+00:00,60114.66,60425.94,59943.99,60348.95,3573,1000
2026-07-02 03:00:00+00:00,60352.20,61061.06,60220.35,60990.29,4767,1000
2026-07-02 04:00:00+00:00,60988.71,60988.71,60651.84,60704.56,3010,1000
2026-07-02 05:00:00+00:00,60704.49,60807.96,60412.01,60439.16,3247,1000
2026-07-02 06:00:00+00:00,60435.75,60577.07,60179.10,60193.94,3068,1000
2026-07-02 07:00:00+00:00,60191.00,60234.67,60018.73,60064.24,2850,1000
2026-07-02 08:00:00+00:00,60061.40,60490.17,60051.93,60429.85,3249,1000
2026-07-02 09:00:00+00:00,60429.76,61356.60,60291.60,61093.43,6148,1000
2026-07-02 10:00:00+00:00,61091.02,61282.18,60959.35,61185.69,4828,1000
2026-07-02 11:00:00+00:00,61188.22,61317.22,61054.04,61276.87,4678,1000
2026-07-02 12:00:00+00:00,61275.18,61553.98,61059.26,61460.79,7297,1000
2026-07-02 13:00:00+00:00,61463.77,62002.88,61428.05,61869.96,9074,1000
2026-07-02 14:00:00+00:00,61870.04,62147.41,61322.03,61627.06,10742,1000
2026-07-02 15:00:00+00:00,61630.58,61791.95,61361.34,61547.80,6606,1000
2026-07-02 16:00:00+00:00,61547.36,61725.64,61079.84,61621.78,5675,1000
2026-07-02 17:00:00+00:00,61621.72,61877.42,61564.52,61604.89,4298,1000
2026-07-02 18:00:00+00:00,61599.50,61818.22,61594.48,61700.13,2996,1000
2026-07-02 19:00:00+00:00,61701.66,61707.61,61348.64,61420.40,3319,1000
2026-07-02 20:00:00+00:00,61416.99,61532.18,61264.13,61503.54,2232,1000
2026-07-02 21:00:00+00:00,61503.97,61593.02,61442.71,61517.10,1268,1000
2026-07-02 22:00:00+00:00,61517.00,61521.13,61317.77,61391.61,1585,1000
2026-07-02 23:00:00+00:00,61390.81,61532.23,61271.19,61488.71,1938,1000
2026-07-03 00:00:00+00:00,61482.84,61503.54,61165.23,61222.95,2926,1000
2026-07-03 01:00:00+00:00,61220.43,61658.11,61196.45,61516.22,4057,1000
2026-07-03 02:00:00+00:00,61517.14,61592.13,61212.41,61354.56,2837,1000
2026-07-03 03:00:00+00:00,61354.77,61504.33,61242.49,61345.52,2224,1000
2026-07-03 04:00:00+00:00,61347.37,61449.99,61255.18,61364.83,1963,1000
2026-07-03 05:00:00+00:00,61364.19,61736.00,61348.34,61624.85,2721,1000
2026-07-03 06:00:00+00:00,61628.14,61778.14,61535.67,61635.04,2173,1000
2026-07-03 07:00:00+00:00,61632.87,61800.66,61582.84,61681.75,1805,1000
2026-07-03 08:00:00+00:00,61684.29,61833.79,61480.96,61512.74,2749,1000
2026-07-03 09:00:00+00:00,61511.95,61718.72,61436.40,61639.43,2558,1000
2026-07-03 10:00:00+00:00,61639.97,61979.05,61594.68,61847.92,3031,1000
2026-07-03 11:00:00+00:00,61847.23,62035.25,61763.76,61939.12,2838,1000
2026-07-03 12:00:00+00:00,61938.62,62098.25,61785.67,61904.48,3007,1000
2026-07-03 13:00:00+00:00,61905.24,62228.08,61859.43,62043.15,3142,1000
2026-07-03 14:00:00+00:00,62042.38,62214.89,61619.29,62099.73,4214,1000
2026-07-03 15:00:00+00:00,62103.75,62344.50,61742.09,61868.07,3975,1000
2026-07-03 16:00:00+00:00,61864.97,62073.54,61842.75,62046.22,2232,1000
2026-07-03 17:00:00+00:00,62046.02,62234.40,62002.35,62144.68,2170,1000
2026-07-03 18:00:00+00:00,62146.97,62196.84,62053.41,62146.21,1757,1000
2026-07-03 19:00:00+00:00,62148.55,62263.10,62083.93,62143.81,2054,1000
2026-07-03 20:00:00+00:00,62150.49,62853.64,62124.40,62715.25,3777,1000
2026-07-03 21:00:00+00:00,62719.10,62910.96,62437.92,62657.63,3185,1000
2026-07-03 22:00:00+00:00,62665.71,62688.31,62466.80,62510.48,1916,1000
2026-07-03 23:00:00+00:00,62511.44,62648.47,62464.50,62520.53,1548,1000
