datetime,open,high,low,close,tick_volume,spread_points
2026-07-01 00:00:00+00:00,1.32497,1.32515,1.32482,1.32503,312,10
2026-07-01 00:15:00+00:00,1.32503,1.32516,1.32467,1.32508,468,10
2026-07-01 00:30:00+00:00,1.32507,1.32510,1.32457,1.32459,403,10
2026-07-01 00:45:00+00:00,1.32459,1.32466,1.32436,1.32453,532,10
2026-07-01 01:00:00+00:00,1.32453,1.32456,1.32378,1.32395,546,10
2026-07-01 01:15:00+00:00,1.32394,1.32429,1.32383,1.32416,561,10
2026-07-01 01:30:00+00:00,1.32420,1.32424,1.32379,1.32396,496,10
2026-07-01 01:45:00+00:00,1.32395,1.32407,1.32346,1.32375,508,10
2026-07-01 02:00:00+00:00,1.32378,1.32383,1.32336,1.32375,525,10
2026-07-01 02:15:00+00:00,1.32374,1.32406,1.32371,1.32375,456,10
2026-07-01 02:30:00+00:00,1.32376,1.32397,1.32346,1.32388,415,10
2026-07-01 02:45:00+00:00,1.32388,1.32403,1.32357,1.32362,437,10
2026-07-01 03:00:00+00:00,1.32361,1.32395,1.32340,1.32373,381,10
2026-07-01 03:15:00+00:00,1.32374,1.32382,1.32342,1.32353,359,10
2026-07-01 03:30:00+00:00,1.32355,1.32362,1.32314,1.32323,454,10
2026-07-01 03:45:00+00:00,1.32323,1.32353,1.32311,1.32350,337,10
2026-07-01 04:00:00+00:00,1.32352,1.32354,1.32320,1.32333,325,10
2026-07-01 04:15:00+00:00,1.32333,1.32346,1.32320,1.32342,347,10
2026-07-01 04:30:00+00:00,1.32345,1.32407,1.32343,1.32394,528,10
2026-07-01 04:45:00+00:00,1.32394,1.32432,1.32394,1.32408,367,10
2026-07-01 05:00:00+00:00,1.32406,1.32433,1.32395,1.32423,380,10
2026-07-01 05:15:00+00:00,1.32423,1.32440,1.32410,1.32433,315,10
2026-07-01 05:30:00+00:00,1.32434,1.32448,1.32417,1.32447,443,10
2026-07-01 05:45:00+00:00,1.32446,1.32447,1.32389,1.32412,481,10
2026-07-01 06:00:00+00:00,1.32410,1.32447,1.32378,1.32393,671,10
2026-07-01 06:15:00+00:00,1.32392,1.32428,1.32363,1.32376,549,10
2026-07-01 06:30:00+00:00,1.32380,1.32396,1.32349,1.32365,509,10
2026-07-01 06:45:00+00:00,1.32365,1.32445,1.32364,1.32428,582,10
2026-07-01 07:00:00+00:00,1.32429,1.32449,1.32341,1.32350,727,10
2026-07-01 07:15:00+00:00,1.32346,1.32353,1.32281,1.32296,563,10
2026-07-01 07:30:00+00:00,1.32296,1.32392,1.32288,1.32379,665,10
2026-07-01 07:45:00+00:00,1.32377,1.32456,1.32375,1.32440,659,10
2026-07-01 08:00:00+00:00,1.32440,1.32454,1.32387,1.32428,609,10
2026-07-01 08:15:00+00:00,1.32427,1.32502,1.32426,1.32501,654,10
2026-07-01 08:30:00+00:00,1.32500,1.32527,1.32442,1.32512,720,10
2026-07-01 08:45:00+00:00,1.32511,1.32512,1.32435,1.32461,571,10
2026-07-01 09:00:00+00:00,1.32459,1.32504,1.32423,1.32478,774,10
2026-07-01 09:15:00+00:00,1.32477,1.32561,1.32446,1.32554,633,10
2026-07-01 09:30:00+00:00,1.32551,1.32565,1.32499,1.32513,733,10
2026-07-01 09:45:00+00:00,1.32512,1.32539,1.32450,1.32463,687,10
2026-07-01 10:00:00+00:00,1.32464,1.32482,1.32441,1.32472,564,10
2026-07-01 10:15:00+00:00,1.32473,1.32529,1.32470,1.32510,545,10
2026-07-01 10:30:00+00:00,1.32512,1.32547,1.32495,1.32524,530,10
2026-07-01 10:45:00+00:00,1.32523,1.32564,1.32517,1.32520,478,10
2026-07-01 11:00:00+00:00,1.32519,1.32533,1.32407,1.32429,709,10
2026-07-01 11:15:00+00:00,1.32429,1.32451,1.32418,1.32444,539,10
2026-07-01 11:30:00+00:00,1.32446,1.32482,1.32429,1.32460,644,10
2026-07-01 11:45:00+00:00,1.32461,1.32482,1.32407,1.32417,722,10
2026-07-01 12:00:00+00:00,1.32420,1.32445,1.32379,1.32406,754,10
2026-07-01 12:15:00+00:00,1.32405,1.32480,1.32403,1.32403,853,10
2026-07-01 12:30:00+00:00,1.32401,1.32443,1.32339,1.32372,1054,10
2026-07-01 12:45:00+00:00,1.32372,1.32427,1.32335,1.32362,850,10
2026-07-01 13:00:00+00:00,1.32361,1.32431,1.32186,1.32205,1562,10
2026-07-01 13:15:00+00:00,1.32205,1.32537,1.32201,1.32506,1910,10
2026-07-01 13:30:00+00:00,1.32504,1.32731,1.32471,1.32720,2199,10
2026-07-01 13:45:00+00:00,1.32718,1.32803,1.32623,1.32633,1400,10
2026-07-01 14:00:00+00:00,1.32632,1.32770,1.32622,1.32730,1484,10
2026-07-01 14:15:00+00:00,1.32731,1.32792,1.32701,1.32713,1338,10
2026-07-01 14:30:00+00:00,1.32713,1.32916,1.32706,1.32775,1306,10
2026-07-01 14:45:00+00:00,1.32777,1.32832,1.32691,1.32773,1514,10
2026-07-01 15:00:00+00:00,1.32774,1.32788,1.32675,1.32718,1273,10
2026-07-01 15:15:00+00:00,1.32716,1.32787,1.32694,1.32783,940,10
2026-07-01 15:30:00+00:00,1.32781,1.32814,1.32659,1.32701,1132,10
2026-07-01 15:45:00+00:00,1.32701,1.32778,1.32695,1.32772,830,10
2026-07-01 16:00:00+00:00,1.32774,1.32903,1.32770,1.32856,1148,10
2026-07-01 16:15:00+00:00,1.32853,1.32917,1.32796,1.32880,1038,10
2026-07-01 16:30:00+00:00,1.32880,1.32883,1.32814,1.32826,778,10
2026-07-01 16:45:00+00:00,1.32825,1.32867,1.32800,1.32811,774,10
2026-07-01 17:00:00+00:00,1.32814,1.32852,1.32785,1.32809,777,10
2026-07-01 17:15:00+00:00,1.32808,1.32830,1.32795,1.32811,585,10
2026-07-01 17:30:00+00:00,1.32812,1.32829,1.32768,1.32771,457,10
2026-07-01 17:45:00+00:00,1.32773,1.32806,1.32769,1.32774,485,10
2026-07-01 18:00:00+00:00,1.32776,1.32796,1.32723,1.32748,517,10
2026-07-01 18:15:00+00:00,1.32748,1.32748,1.32709,1.32735,463,10
2026-07-01 18:30:00+00:00,1.32735,1.32784,1.32729,1.32784,525,10
2026-07-01 18:45:00+00:00,1.32781,1.32790,1.32741,1.32781,553,10
2026-07-01 19:00:00+00:00,1.32779,1.32801,1.32771,1.32789,479,10
2026-07-01 19:15:00+00:00,1.32788,1.32819,1.32779,1.32809,515,10
2026-07-01 19:30:00+00:00,1.32809,1.32821,1.32792,1.32810,452,10
2026-07-01 19:45:00+00:00,1.32809,1.32810,1.32767,1.32776,476,10
2026-07-01 20:00:00+00:00,1.32774,1.32797,1.32768,1.32785,329,10
2026-07-01 20:15:00+00:00,1.32784,1.32799,1.32769,1.32790,225,10
2026-07-01 20:30:00+00:00,1.32788,1.32800,1.32686,1.32702,299,10
2026-07-01 20:45:00+00:00,1.32703,1.32760,1.32698,1.32740,317,9
2026-07-01 21:00:00+00:00,1.32742,1.32743,1.32697,1.32719,124,20
2026-07-01 21:15:00+00:00,1.32720,1.32726,1.32707,1.32710,195,59
2026-07-01 21:30:00+00:00,1.32710,1.32725,1.32709,1.32713,232,112
2026-07-01 21:45:00+00:00,1.32715,1.32744,1.32655,1.32655,192,84
2026-07-01 22:00:00+00:00,1.32695,1.32776,1.32695,1.32766,144,10
2026-07-01 22:15:00+00:00,1.32766,1.32789,1.32763,1.32788,101,10
2026-07-01 22:30:00+00:00,1.32788,1.32792,1.32774,1.32790,55,10
2026-07-01 22:45:00+00:00,1.32790,1.32794,1.32787,1.32792,49,10
2026-07-01 23:00:00+00:00,1.32792,1.32793,1.32776,1.32791,83,10
2026-07-01 23:15:00+00:00,1.32791,1.32798,1.32777,1.32791,144,10
2026-07-01 23:30:00+00:00,1.32791,1.32798,1.32779,1.32789,101,10
2026-07-01 23:45:00+00:00,1.32789,1.32791,1.32765,1.32782,199,10
2026-07-02 00:00:00+00:00,1.32782,1.32831,1.32759,1.32799,588,10
2026-07-02 00:15:00+00:00,1.32799,1.32801,1.32739,1.32748,436,10
2026-07-02 00:30:00+00:00,1.32748,1.32801,1.32741,1.32773,425,10
2026-07-02 00:45:00+00:00,1.32772,1.32796,1.32758,1.32778,540,10
2026-07-02 01:00:00+00:00,1.32777,1.32807,1.32765,1.32798,541,10
2026-07-02 01:15:00+00:00,1.32798,1.32814,1.32777,1.32799,501,10
2026-07-02 01:30:00+00:00,1.32798,1.32842,1.32785,1.32820,462,10
2026-07-02 01:45:00+00:00,1.32821,1.32904,1.32814,1.32843,532,10
2026-07-02 02:00:00+00:00,1.32843,1.32923,1.32834,1.32923,480,10
2026-07-02 02:15:00+00:00,1.32920,1.32944,1.32891,1.32899,466,10
2026-07-02 02:30:00+00:00,1.32898,1.32915,1.32877,1.32884,360,10
2026-07-02 02:45:00+00:00,1.32884,1.32894,1.32840,1.32852,382,10
2026-07-02 03:00:00+00:00,1.32850,1.32869,1.32806,1.32812,374,10
2026-07-02 03:15:00+00:00,1.32812,1.32830,1.32795,1.32822,335,10
