datetime,open,high,low,close,tick_volume,spread_points
2026-07-01 00:00:00+00:00,30315.27,30332.93,30297.06,30309.12,2966,240
2026-07-01 00:15:00+00:00,30309.59,30321.60,30289.26,30317.81,1952,240
2026-07-01 00:30:00+00:00,30317.74,30329.88,30308.51,30320.02,1467,240
2026-07-01 00:45:00+00:00,30319.91,30328.05,30304.86,30305.19,1280,240
2026-07-01 01:00:00+00:00,30305.71,30310.74,30253.15,30279.35,1964,240
2026-07-01 01:15:00+00:00,30279.88,30287.95,30248.37,30267.40,2403,240
2026-07-01 01:30:00+00:00,30267.81,30284.51,30249.75,30255.68,1919,240
2026-07-01 01:45:00+00:00,30256.05,30264.29,30233.26,30234.74,1622,240
2026-07-01 02:00:00+00:00,30234.81,30236.81,30167.80,30174.33,2160,240
2026-07-01 02:15:00+00:00,30174.06,30203.97,30148.82,30203.17,1871,240
2026-07-01 02:30:00+00:00,30202.60,30226.76,30190.16,30221.83,1307,240
2026-07-01 02:45:00+00:00,30221.65,30223.84,30206.75,30219.10,1227,240
2026-07-01 03:00:00+00:00,30219.54,30246.61,30213.96,30243.76,1137,240
2026-07-01 03:15:00+00:00,30243.77,30247.06,30211.20,30219.21,1294,240
2026-07-01 03:30:00+00:00,30219.72,30248.60,30212.81,30230.30,1467,240
2026-07-01 03:45:00+00:00,30229.88,30258.53,30229.81,30248.46,953,240
2026-07-01 04:00:00+00:00,30248.84,30249.36,30215.46,30218.07,1270,240
2026-07-01 04:15:00+00:00,30217.85,30236.05,30210.83,30233.09,1160,240
2026-07-01 04:30:00+00:00,30233.13,30241.96,30214.85,30235.14,1160,240
2026-07-01 04:45:00+00:00,30235.23,30255.81,30223.73,30225.19,1009,240
2026-07-01 05:00:00+00:00,30225.14,30244.31,30217.16,30226.23,1212,240
2026-07-01 05:15:00+00:00,30226.27,30232.16,30211.00,30218.36,1219,240
2026-07-01 05:30:00+00:00,30217.88,30233.33,30204.11,30217.05,1430,240
2026-07-01 05:45:00+00:00,30217.06,30226.92,30204.97,30211.16,1183,240
2026-07-01 06:00:00+00:00,30210.66,30225.18,30186.91,30188.78,1695,240
2026-07-01 06:15:00+00:00,30189.28,30197.89,30146.83,30176.50,1521,240
2026-07-01 06:30:00+00:00,30176.93,30189.83,30165.80,30188.35,1510,240
2026-07-01 06:45:00+00:00,30188.48,30200.65,30162.36,30172.82,1254,240
2026-07-01 07:00:00+00:00,30172.09,30176.34,30110.24,30115.38,2046,240
2026-07-01 07:15:00+00:00,30114.87,30139.31,30080.78,30130.77,2120,240
2026-07-01 07:30:00+00:00,30130.93,30148.21,30126.08,30137.84,1241,240
2026-07-01 07:45:00+00:00,30137.43,30164.52,30130.07,30155.11,1293,240
2026-07-01 08:00:00+00:00,30155.73,30156.47,30115.26,30138.71,2042,240
2026-07-01 08:15:00+00:00,30138.27,30148.63,30105.67,30113.08,1711,240
2026-07-01 08:30:00+00:00,30112.55,30146.45,30099.50,30140.35,1807,240
2026-07-01 08:45:00+00:00,30140.03,30159.13,30127.21,30158.73,1262,240
2026-07-01 09:00:00+00:00,30158.66,30159.08,30120.19,30131.87,1657,240
2026-07-01 09:15:00+00:00,30131.83,30145.17,30125.56,30135.10,1174,240
2026-07-01 09:30:00+00:00,30134.63,30146.36,30128.93,30140.44,1053,240
2026-07-01 09:45:00+00:00,30140.96,30167.10,30140.69,30165.79,1086,240
2026-07-01 10:00:00+00:00,30165.39,30170.67,30133.45,30142.89,1181,240
2026-07-01 10:15:00+00:00,30143.37,30177.32,30141.43,30176.56,1088,240
2026-07-01 10:30:00+00:00,30176.63,30181.35,30145.97,30168.90,1125,240
2026-07-01 10:45:00+00:00,30168.93,30195.47,30165.66,30188.50,953,240
2026-07-01 11:00:00+00:00,30188.96,30216.54,30188.51,30195.24,1372,240
2026-07-01 11:15:00+00:00,30195.22,30200.39,30178.17,30180.72,1337,240
2026-07-01 11:30:00+00:00,30181.13,30183.26,30155.50,30177.65,1522,240
2026-07-01 11:45:00+00:00,30177.67,30178.15,30136.53,30143.96,1478,240
2026-07-01 12:00:00+00:00,30144.38,30155.02,30114.05,30140.30,1766,240
2026-07-01 12:15:00+00:00,30140.87,30169.00,30140.87,30150.74,1921,240
2026-07-01 12:30:00+00:00,30150.33,30175.83,30024.41,30052.99,6338,240
2026-07-01 12:45:00+00:00,30052.59,30064.91,30020.79,30047.91,3507,240
2026-07-01 13:00:00+00:00,30047.46,30086.63,30024.73,30035.72,5494,240
2026-07-01 13:15:00+00:00,30035.35,30094.14,29993.89,30015.07,5320,240
2026-07-01 13:30:00+00:00,30016.01,30040.19,29868.58,29921.80,33178,240
2026-07-01 13:45:00+00:00,29921.35,30063.49,29892.99,30062.61,18256,240
2026-07-01 14:00:00+00:00,30062.10,30107.13,30025.34,30067.59,12108,240
2026-07-01 14:15:00+00:00,30068.27,30093.71,30032.03,30066.85,8692,240
2026-07-01 14:30:00+00:00,30066.19,30069.66,29984.34,29986.68,9099,240
2026-07-01 14:45:00+00:00,29985.70,30022.63,29917.69,29973.29,8775,240
2026-07-01 15:00:00+00:00,29973.74,30050.91,29967.04,30041.98,7177,240
2026-07-01 15:15:00+00:00,30042.53,30125.61,30042.53,30123.21,5556,240
2026-07-01 15:30:00+00:00,30123.69,30135.10,30058.90,30071.30,5690,240
2026-07-01 15:45:00+00:00,30070.70,30076.81,30008.49,30035.42,5109,240
2026-07-01 16:00:00+00:00,30035.93,30057.42,30004.59,30022.81,4751,240
2026-07-01 16:15:00+00:00,30022.27,30061.16,29998.91,30024.64,4212,240
2026-07-01 16:30:00+00:00,30025.10,30042.41,29981.99,30004.09,3392,240
2026-07-01 16:45:00+00:00,30003.61,30021.54,29954.55,29970.04,3704,240
2026-07-01 17:00:00+00:00,29970.49,29997.45,29934.29,29978.54,4425,240
2026-07-01 17:15:00+00:00,29978.16,30020.37,29969.80,29990.08,2935,240
2026-07-01 17:30:00+00:00,29989.68,30003.26,29965.20,29969.10,2893,240
2026-07-01 17:45:00+00:00,29969.39,29987.93,29937.94,29943.26,3058,240
2026-07-01 18:00:00+00:00,29943.73,29970.28,29934.35,29936.61,3092,240
2026-07-01 18:15:00+00:00,29936.14,29962.03,29919.16,29939.69,2628,240
2026-07-01 18:30:00+00:00,29939.28,29954.95,29914.62,29925.98,2214,240
2026-07-01 18:45:00+00:00,29925.49,29925.96,29879.73,29912.30,2651,240
2026-07-01 19:00:00+00:00,29912.74,29995.92,29907.88,29967.38,3514,240
2026-07-01 19:15:00+00:00,29967.25,29991.01,29949.66,29970.37,3356,240
2026-07-01 19:30:00+00:00,29970.93,30011.45,29915.46,29923.72,4297,240
2026-07-01 19:45:00+00:00,29924.31,29941.06,29834.91,29860.68,6812,240
2026-07-01 20:00:00+00:00,29861.15,29866.66,29790.00,29841.31,4867,240
2026-07-01 20:15:00+00:00,29840.87,29845.17,29806.32,29833.27,1787,240
2026-07-01 20:30:00+00:00,29833.02,29837.94,29801.01,29832.32,1633,240
2026-07-01 20:45:00+00:00,29832.65,29854.04,29821.76,29845.39,1343,240
2026-07-01 22:00:00+00:00,29878.92,29891.72,29837.28,29837.28,1974,240
2026-07-01 22:15:00+00:00,29836.82,29884.99,29835.61,29878.56,985,240
2026-07-01 22:30:00+00:00,29877.80,29895.77,29875.67,29887.22,889,240
2026-07-01 22:45:00+00:00,29887.54,29898.99,29864.72,29890.73,901,240
2026-07-01 23:00:00+00:00,29890.97,29893.48,29844.95,29846.83,1025,240
2026-07-01 23:15:00+00:00,29847.31,29851.75,29838.30,29850.81,802,240
2026-07-01 23:30:00+00:00,29851.30,29857.77,29825.77,29856.30,991,240
2026-07-01 23:45:00+00:00,29855.91,29855.91,29794.72,29828.29,2414,240
2026-07-02 00:00:00+00:00,29828.78,29829.26,29737.24,29784.58,5591,240
2026-07-02 00:15:00+00:00,29785.06,29848.73,29760.21,29845.49,4006,240
2026-07-02 00:30:00+00:00,29845.32,29863.83,29794.86,29796.57,3009,240
2026-07-02 00:45:00+00:00,29796.17,29900.73,29790.76,29892.43,3522,240
2026-07-02 01:00:00+00:00,29892.90,29973.99,29881.32,29971.08,2838,240
2026-07-02 01:15:00+00:00,29970.59,29988.08,29950.50,29977.55,1980,240
2026-07-02 01:30:00+00:00,29977.95,30010.83,29973.19,29998.01,2102,240
2026-07-02 01:45:00+00:00,29998.04,30010.05,29980.84,29986.68,1670,240
2026-07-02 02:00:00+00:00,29986.23,30013.53,29974.22,30012.38,1601,240
2026-07-02 02:15:00+00:00,30012.86,30022.18,29970.26,29975.83,1511,240
2026-07-02 02:30:00+00:00,29976.47,30000.42,29964.59,29991.03,1647,240
2026-07-02 02:45:00+00:00,29990.77,30011.83,29975.00,29990.61,1366,240
2026-07-02 03:00:00+00:00,29990.97,29996.57,29942.17,29960.76,1492,240
2026-07-02 03:15:00+00:00,29961.19,29967.83,29918.50,29935.02,1371,240
2026-07-02 03:30:00+00:00,29935.03,29979.05,29929.06,29941.77,2057,240
2026-07-02 03:45:00+00:00,29941.82,29968.27,29921.65,29956.30,1738,240
2026-07-02 04:00:00+00:00,29956.10,29971.64,29911.23,29911.64,1814,240
2026-07-02 04:15:00+00:00,29911.54,29924.65,29886.45,29918.31,1672,240
2026-07-02 04:30:00+00:00,29918.52,29919.07,29848.04,29851.90,1901,240
2026-07-02 04:45:00+00:00,29851.83,29905.33,29839.99,29897.09,1775,240
2026-07-02 05:00:00+00:00,29896.71,29937.69,29878.11,29929.02,1888,240
2026-07-02 05:15:00+00:00,29928.62,29942.42,29896.20,29898.40,1702,240
2026-07-02 05:30:00+00:00,29898.94,29900.42,29830.25,29837.48,2744,240
2026-07-02 05:45:00+00:00,29837.49,29855.21,29821.60,29834.08,2108,240
2026-07-02 06:00:00+00:00,29834.65,29849.52,29739.11,29739.11,2544,240
2026-07-02 06:15:00+00:00,29738.59,29778.73,29731.37,29736.87,2635,240
2026-07-02 06:30:00+00:00,29737.42,29790.72,29735.37,29757.10,2121,240
2026-07-02 06:45:00+00:00,29757.51,29761.09,29678.76,29703.44,2519,240
2026-07-02 07:00:00+00:00,29703.95,29721.07,29616.12,29618.69,3491,240
2026-07-02 07:15:00+00:00,29619.30,29654.93,29610.27,29646.49,3147,240
2026-07-02 07:30:00+00:00,29646.12,29726.39,29643.17,29722.34,2467,240
2026-07-02 07:45:00+00:00,29721.95,29727.36,29668.03,29676.06,2100,240
2026-07-02 08:00:00+00:00,29675.67,29709.68,29610.80,29624.92,4200,240
2026-07-02 08:15:00+00:00,29624.51,29724.85,29623.52,29708.87,2695,240
2026-07-02 08:30:00+00:00,29708.47,29796.91,29699.61,29765.49,2979,240
2026-07-02 08:45:00+00:00,29765.08,29821.56,29754.75,29816.92,2153,240
2026-07-02 09:00:00+00:00,29816.41,29816.43,29744.70,29767.30,2244,240
2026-07-02 09:15:00+00:00,29767.55,29769.55,29727.80,29766.29,2129,240
2026-07-02 09:30:00+00:00,29766.66,29797.82,29761.39,29782.84,2109,240
2026-07-02 09:45:00+00:00,29782.60,29782.60,29735.83,29741.54,1758,240
2026-07-02 10:00:00+00:00,29742.09,29742.65,29703.86,29718.64,1890,240
2026-07-02 10:15:00+00:00,29718.52,29743.68,29708.61,29731.96,1874,240
2026-07-02 10:30:00+00:00,29731.84,29787.85,29731.55,29762.49,1720,240
2026-07-02 10:45:00+00:00,29762.73,29791.68,29756.79,29787.38,1424,240
2026-07-02 11:00:00+00:00,29787.92,29804.65,29751.87,29790.11,2257,240
2026-07-02 11:15:00+00:00,29789.98,29797.16,29754.29,29789.13,1563,240
2026-07-02 11:30:00+00:00,29788.54,29847.80,29776.41,29841.64,1907,240
2026-07-02 11:45:00+00:00,29841.00,29861.76,29817.73,29817.73,1970,240
2026-07-02 12:00:00+00:00,29818.30,29924.33,29805.77,29913.96,2608,240
2026-07-02 12:15:00+00:00,29914.46,29969.95,29911.59,29962.53,3418,240
2026-07-02 12:30:00+00:00,29963.37,30102.56,29957.16,30026.63,8322,240
2026-07-02 12:45:00+00:00,30025.98,30049.32,29939.36,29967.06,5167,240
2026-07-02 13:00:00+00:00,29966.60,29998.49,29901.76,29925.40,5373,240
2026-07-02 13:15:00+00:00,29925.89,29966.11,29859.06,29861.50,4717,240
2026-07-02 13:30:00+00:00,29861.10,29971.13,29792.31,29908.51,28690,240
2026-07-02 13:45:00+00:00,29909.07,30044.69,29887.10,30039.88,16351,240
2026-07-02 14:00:00+00:00,30040.27,30076.12,29915.06,29999.39,13806,240
2026-07-02 14:15:00+00:00,29998.89,30009.36,29694.55,29718.17,18990,240
2026-07-02 14:30:00+00:00,29718.53,29788.44,29560.17,29592.62,22555,240
2026-07-02 14:45:00+00:00,29593.21,29650.99,29514.70,29623.93,20228,240
2026-07-02 15:00:00+00:00,29624.38,29634.40,29413.26,29500.01,17998,240
2026-07-02 15:15:00+00:00,29499.60,29530.29,29394.74,29455.10,18674,240
2026-07-02 15:30:00+00:00,29455.68,29600.38,29451.18,29496.19,13850,240
2026-07-02 15:45:00+00:00,29495.41,29531.94,29420.11,29459.72,12264,240
2026-07-02 16:00:00+00:00,29460.91,29471.16,29369.35,29430.99,10812,240
2026-07-02 16:15:00+00:00,29430.52,29435.94,29331.92,29341.46,9624,240
2026-07-02 16:30:00+00:00,29341.97,29346.22,29238.01,29321.07,9320,240
