id,symbol,chart,time_utc3,time_utc,direction,setup,outcome,time_note
G1,XAU/USDm,GC1!,2026-07-13 09:45,2026-07-13 06:45,long,Fakeout,win,
G2,XAU/USDm,GC1!,2026-07-14 05:00,2026-07-14 02:00,long,Flip,win,
G3,XAU/USDm,GC1!,2026-07-14 13:30,2026-07-14 10:30,long,Fakeout,win,
G4,XAU/USDm,GC1!,2026-07-15 14:45,2026-07-15 11:45,long,Flip,win,
G5,XAU/USDm,GC1!,2026-07-16 01:45,2026-07-15 22:45,short,Shift,win,
G6,XAU/USDm,GC1!,2026-07-16 14:30,2026-07-16 11:30,short,Flip,loss,label hidden; time estimated from bar spacing
G7,XAU/USDm,GC1!,2026-07-16 17:45,2026-07-16 14:45,long,Flip,win,
G8,XAU/USDm,GC1!,2026-07-17 02:45,2026-07-16 23:45,long,Flip,win,
G9,XAU/USDm,GC1!,2026-07-17 06:45,2026-07-17 03:45,long,Shift,loss,
E1,EUR/USDm,6E1!,2026-07-13 15:30,2026-07-13 12:30,short,Flip,loss,
E2,EUR/USDm,6E1!,2026-07-14 03:45,2026-07-14 00:45,long,Shift,win,
E3,EUR/USDm,6E1!,2026-07-15 07:00,2026-07-15 04:00,short,Fakeout,loss,
E4,EUR/USDm,6E1!,2026-07-16 07:00,2026-07-16 04:00,long,Flip,loss,
E5,EUR/USDm,6E1!,2026-07-16 16:30,2026-07-16 13:30,short,Shift,win,
B1,GBP/USDm,6B1!,2026-07-13 08:15,2026-07-13 05:15,long,Flip,loss,
B2,GBP/USDm,6B1!,2026-07-14 03:45,2026-07-14 00:45,long,Shift,win,
B3,GBP/USDm,6B1!,2026-07-14 15:15,2026-07-14 12:15,long,Shift,win,
B4,GBP/USDm,6B1!,2026-07-14 22:30,2026-07-14 19:30,long,Flip,win,
B5,GBP/USDm,6B1!,2026-07-15 10:30,2026-07-15 07:30,short,Flip,win,no time marker; estimated from axis spacing
B6,GBP/USDm,6B1!,2026-07-16 01:00,2026-07-15 22:00,short,Flip,win,
B7,GBP/USDm,6B1!,2026-07-17 03:45,2026-07-17 00:45,short,Flip,loss,
C1,BTC/USDm,BTCUSD,2026-07-14 12:30,2026-07-14 09:30,long,Shift,win,
C2,BTC/USDm,BTCUSD,2026-07-15 20:00,2026-07-15 17:00,short,Flip,win,
C3,BTC/USDm,BTCUSD,2026-07-16 19:00,2026-07-16 16:00,short,Flip,win,
C4,BTC/USDm,BTCUSD,2026-07-17 01:30,2026-07-16 22:30,short,Flip,win,label partly hidden; time estimated
C5,BTC/USDm,BTCUSD,2026-07-17 04:15,2026-07-17 01:15,long,Shift,loss,
C6,BTC/USDm,BTCUSD,2026-07-17 08:15,2026-07-17 05:15,short,Shift,loss,
N1,USTECm,NQ1!,2026-07-13 16:00,2026-07-13 13:00,short,Shift,win,
N2,USTECm,NQ1!,2026-07-14 07:00,2026-07-14 04:00,long,Fakeout,win,
N3,USTECm,NQ1!,2026-07-15 01:45,2026-07-14 22:45,long,Fakeout,win,
N4,USTECm,NQ1!,2026-07-16 03:30,2026-07-16 00:30,short,Shift,loss,
N5,USTECm,NQ1!,2026-07-16 11:00,2026-07-16 08:00,short,Shift,win,
N6,USTECm,NQ1!,2026-07-16 17:45,2026-07-16 14:45,long,Fakeout,loss,
N7,USTECm,NQ1!,2026-07-16 21:00,2026-07-16 18:00,short,Flip,win,
N8,USTECm,NQ1!,2026-07-17 09:15,2026-07-17 06:15,short,Flip,win,
